Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,End Date of Code,Update Date,Team Member(s) Designing / Updating Code,Team Member(s) Testing Code,Complete / Ongoing / Abandoned
FR-007,Graph validation for integrity and operator compatibility,Graph Processing / Graph Manager,onnx_graph.h / onnx_graph.c,ONNX_Graph_Validate; ONNX_Graph_Init; ONNX_Graph_Cleanup,02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-008,Operator dependency analysis (topological sorting on DAG),Graph Processing / Scheduler,onnx_graph.h / onnx_graph.c,ONNX_Graph_BuildDependencies; ONNX_Graph_GenerateSchedule; ONNX_Graph_GenerateCustomSchedule,02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-009,Static execution schedule with optional operator fusion,Graph Processing / Scheduler,onnx_graph.h,ONNX_Graph_SetCustomSchedule; ONNX_Graph_GetSchedule; ONNX_Node_SetPriority,02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-011,Execute operators in dependency order (cooperative),Execution Engine / Runtime,onnx_runtime.h / onnx_runtime.c,ONNX_Runtime_Inference; ONNX_Runtime_ExecuteNode; ONNX_Runtime_ExecuteUpTo,02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-012,Execution timing measurement per operator,Execution Engine / Profiling,onnx_runtime.h / onnx_runtime.c,ONNX_Runtime_GetStats; ONNX_Runtime_ResetStats; ONNX_Runtime_PrintProfile,02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-013,"NEON SIMD operator implementations (Add, MatMul, ReLU)",Execution Engine / Operators,onnx_runtime.c,"ONNX_Execute_Arithmetic; ONNX_Execute_MatMul; ONNX_Execute_ReLU (also Sigmoid, Tanh, Softmax, etc.)",02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-015,Error handling via predefined error codes,Execution Engine,onnx_runtime.c,"Status-based dispatch in ONNX_Runtime_ExecuteNode, per-operator error propagation",02/27/2026,03/02/2026,,Harshit Saini,Complete,
FR-021,Network interface for graph/result transfer (Ethernet),Communication Interface / RUDP,rudp.h / rudp.c,RUDP_Init; RUDP_Shutdown; RUDP_Send; RUDP_SendLarge; RUDP_Receive,03/01/2026,03/01/2026,03/01/2026,Documentation improvements,,Complete
FR-022,Inference result output via network protocol,Communication Interface / RUDP,rudp.h / rudp.c,"RUDP_Send (NET_CMD_GET_RESULTS), response frame building",03/01/2026,03/01/2026,,Aashma Yadav,Complete,
FR-023,System status and health reporting over network,Communication Interface / RUDP,rudp.h / net_types.h,NET_CMD_SYSTEM_STATUS; NET_CMD_KEEPALIVE commands,03/01/2026,03/01/2026,,Aashma Yadav,Complete,
FR-025,Input validation with CRC-16 integrity checking,Communication Interface / CRC,crc16.h / crc16.c,"CRC16_Compute, frame validation in RUDP_Receive",03/01/2026,03/01/2026,,Aashma Yadav,Complete,
SR-004,CRC-16 data integrity (stronger than UART CRC-8),Communication Interface / CRC,crc16.c,CRC16_Compute over full frame including headers,03/01/2026,03/01/2026,,Aashma Yadav,Complete,
NFR-001,Reliable delivery with ACK/retry for ML control frames,Communication Interface / RUDP,rudp.c,RUDP_Send (RELIABLE flag); RUDP_Poll (retransmit timer); store_in_window; build_frame,03/01/2026,03/01/2026,,Aashma Yadav,Complete,
NFR-002,Session management (open/close/keepalive),Communication Interface / RUDP,rudp.c,RUDP_OpenSession; RUDP_CloseSession; RUDP_Poll (keepalive/dead session detect),03/01/2026,03/01/2026,,Aashma Yadav,Complete,
NFR-003,Fragmentation for large ONNX models (>1452 bytes),Communication Interface / RUDP,rudp.h / rudp.c,"RUDP_SendLarge (FRAG/FRAG_END flags, per-fragment ACK)",03/01/2026,03/01/2026,,Aashma Yadav,Complete,
DC-002,No dynamic allocation (all static buffers),Communication Interface,rudp.c / eth_driver.h,s_tx_frame; s_rx_frame; s_local_mac; s_stats (static buffers),03/01/2026,03/01/2026,,Aashma Yadav,Complete,
PR-001,Inference throughput within 20% of bare-metal,Benchmarking Suite,neural_network_benchmark.c / unikraft_benchmark.c,forward; init_model; softmax; main (benchmark loop),02/16/2026,02/25/2026,02/25/2026,Harshit Saini,,Complete
PR-002,System overhead measurement (<10% of inference time),Benchmarking Suite,multithreaded_benchmark.c,"BenchmarkResult struct, timing via rdtscp_time, throughput/latency calculation",02/16/2026,02/25/2026,,Harshit Saini,Complete,
PDR-001,Execution time variation <15% across runs,Benchmarking Suite,generate_graphs.py / analyze_results.py,"Latency P50/P99 measurement, statistical analysis, comparison graphs",02/16/2026,02/25/2026,,Piyush2005-code,Complete,
BR-005,Cooperative scheduler for unikernel workloads,Scheduling / Cooperative Scheduler,cooperative_scheduler.h,coop_sched_init; coop_sched_spawn; coop_sched_run; coop_yield; CoopTask; CoopScheduler,02/16/2026,02/25/2026,,Harshit Saini,Complete,
DOC-001,SRS documentation and progress reports,Documentation,README.md / SRS LaTeX files,"SRS v2.0/v3.0 documents, progress reports, UML diagrams",02/16/2026,02/26/2026,02/26/2026,Harshit Saini,,Complete
FR-040,"Scheduling algorithms (FCFS, SJF, RR, HRRN, Priority)",Scheduler Simulation,simulator.c,"Implementation of FCFS, SJF, Round-Robin, HRRN, Priority policies",02/26/2026,02/28/2026,,Harshit Saini,Complete,
FR-041,Multilevel Queue and Lottery scheduling algorithms,Scheduler Simulation,simulator.c,Implementation of Multilevel Queue and Lottery scheduling,02/27/2026,02/28/2026,,Darpan Baviskar,Complete,
FR-042,Benchmark runner and statistics tracking,Scheduler Simulation,benchmark.c,Benchmark runner and stats tracking across all policies,02/28/2026,03/01/2026,,Harshit Saini,Complete,
DOC-002,Quantitative benchmark report with matplotlib charts,Documentation,report/,Matplotlib charts and analysis report,03/01/2026,03/01/2026,,Darpan Baviskar,Complete,
BR-005,Cooperative scheduler with memory management and timer services,Scheduler / Cooperative,Scheduler,coop_sched_init; coop_sched_spawn; coop_sched_run; coop_yield; CoopTask; CoopScheduler,03/02/2026,03/02/2026,,Harshit Saini,Complete,
DC-001,Project directory structure per SRS specification,Build System,Directory structure,"Directory restructure (/src, /include, /build, /scripts)",02/27/2026,02/27/2026,,Harshit Saini,,Complete
